year,AS-RCEC_TaiESM1_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r1i1p1f2,MOHC_UKESM1-0-LL_r2i1p1f2,MOHC_UKESM1-0-LL_r3i1p1f2,MOHC_UKESM1-0-LL_r4i1p1f2,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NCAR_CESM2-FV2_r1i1p1f1,NCAR_CESM2-WACCM-FV2_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,NCAR_CESM2_r1i1p1f1,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NOAA-GFDL_GFDL-CM4_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,MRI_MRI-ESM2-0_r1i2p1f1
86,3404780300000000.0,,,,,,,,,,5182081500000000.0,5184366400000000.0,5184367000000000.0,5182081500000000.0,3404780300000000.0,3387957200000000.0,3387957200000000.0,5186581600000000.0,5097547000000000.0,,
87,3438827600000000.0,,,,,,,,,,5233903500000000.0,5236113300000000.0,5236113000000000.0,5233903500000000.0,3438827600000000.0,3421837200000000.0,3421837200000000.0,5238604400000000.0,5155505000000000.0,,
88,3473216600000000.0,,,,,,,,,,5286243000000000.0,5288525000000000.0,5288525000000000.0,5286243000000000.0,3473216600000000.0,3456055800000000.0,3456055800000000.0,5291085000000000.0,5195018000000000.0,,
89,3507949000000000.0,,,,,,,,,,5339104400000000.0,5341458000000000.0,5341458600000000.0,5339104400000000.0,3507949000000000.0,3490616300000000.0,3490616300000000.0,5344027600000000.0,5248560000000000.0,,
90,3543028300000000.0,,,,,,,,,,5392497000000000.0,5394873000000000.0,5394873500000000.0,5392497000000000.0,3543028300000000.0,3525522800000000.0,3525522800000000.0,5397751000000000.0,5319506500000000.0,,
91,3578458300000000.0,,,,,,,,,,5446419000000000.0,5448720000000000.0,5448720000000000.0,5446419000000000.0,3578458300000000.0,3560776200000000.0,3560776200000000.0,5451443000000000.0,5383007000000000.0,,
92,3614243000000000.0,,,,,,,,,,5500885000000000.0,5503260000000000.0,5503260000000000.0,5500885000000000.0,3614243000000000.0,3596384700000000.0,3596384700000000.0,5505767400000000.0,5435170500000000.0,,
93,3650384800000000.0,,,,,,,,,,5555891300000000.0,5558343000000000.0,5558343000000000.0,5555891300000000.0,3650384800000000.0,3632347500000000.0,3632347500000000.0,5560829400000000.0,5491100000000000.0,,
94,3686889000000000.0,,,,,,,,,,5611449400000000.0,5613926500000000.0,5613926500000000.0,5611449400000000.0,3686889000000000.0,3668670000000000.0,3668670000000000.0,5616480000000000.0,5541661500000000.0,,
95,3723757900000000.0,,,,,,,,,,5667564000000000.0,5669960000000000.0,5669960000000000.0,5667564000000000.0,3723757900000000.0,3705357400000000.0,3705357400000000.0,5672913000000000.0,5577999000000000.0,,
