year,CSIRO_ACCESS-ESM1-5_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r3i1p1f3,CCCma_CanESM5_r2i1p1f1,MOHC_HadGEM3-GC31-LL_r4i1p1f3,NOAA-GFDL_GFDL-CM4_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_UKESM1-0-LL_r1i1p1f2,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,CCCma_CanESM5_r2i1p2f1,CAMS_CAMS-CSM1-0_r2i1p1f1,MIROC_MIROC6_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r2i1p1f3,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r2i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,MRI_MRI-ESM2-0_r1i2p1f1,CCCma_CanESM5_r1i1p2f1,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r3i1p1f2,MRI_MRI-ESM2-0_r1i1p1f1,CCCma_CanESM5_r3i1p1f1,NASA-GISS_GISS-E2-1-H_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r4i1p1f2,CCCma_CanESM5_r3i1p2f1,NCAR_CESM2-WACCM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r3i1p1f2,NASA-GISS_GISS-E2-1-G_r102i1p1f1,MOHC_UKESM1-0-LL_r4i1p1f2,E3SM-Project_E3SM-1-0_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,BCC_BCC-ESM1_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r101i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p3f1,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r2i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p1f1,CAMS_CAMS-CSM1-0_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,NCAR_CESM2_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2
90,,,,,78.22022,,,44.3304,99.90182,,,,,,,,,,,,,,,,,,,97.03335,,,,94.013245,,,,,,,,,,,95.013405,
91,,,,,77.98416,,,44.066372,100.33926,,,,,,,,,,,,,,,,,,,96.72683,,,,94.547295,,,,,,,,,,,95.77344,
92,,,,,78.00142,,,44.156803,100.90823,,,,,,,,,,,,,,,,,,,96.46155,,,,94.01236,,,,,,,,,,,96.01557,
93,,,,,77.90906,,,43.985733,101.21703,,,,,,,,,,,,,,,,,,,96.67716,,,,94.17087,,,,,,,,,,,95.577354,
94,,,,,77.89128,,,43.94351,99.95519,,,,,,,,,,,,,,,,,,,96.7428,,,,94.05346,,,,,,,,,,,95.32846,
95,,,,,78.13415,,,43.964542,100.08984,,,,,,,,,,,,,,,,,,,97.0794,,,,92.99891,,,,,,,,,,,95.49887,
96,,,,,77.85517,,,43.990208,100.39715,,,,,,,,,,,,,,,,,,,96.3869,,,,93.602516,,,,,,,,,,,95.56846,
97,,,,,77.75056,,,44.01041,100.48354,,,,,,,,,,,,,,,,,,,96.22681,,,,94.18975,,,,,,,,,,,95.99542,
98,,,,,77.73262,,,43.860157,100.628334,,,,,,,,,,,,,,,,,,,96.477425,,,,93.58121,,,,,,,,,,,95.16714,
99,,,,,77.58112,,,44.05167,99.93774,,,,,,,,,,,,,,,,,,,95.81043,,,,93.04998,,,,,,,,,,,95.52932,
100,,,,,77.9455,,,43.986267,100.69284,,,,,,,,,,,,,,,,,,,96.12061,,,,93.3993,,,,,,,,,,,95.5625,
101,96.800896,,,,77.30828,,,43.752666,101.30585,,,,,,,,,,,,,,,,,,,95.88611,,,,93.197624,,,,,,,,,,,95.74191,
102,96.517815,,,,77.775276,,,43.75533,99.60966,,,,,,,,,,,,,,,,,,,96.18075,,,,93.36084,,,,,,,,,,,95.04907,
103,97.16431,,,,77.433846,,,43.85611,100.522064,,,,,,,,,,,,,,,,,,,96.325554,,,,93.39789,,,,,,,,,,,95.11503,
104,96.82813,,,,77.73969,,,43.76953,101.361824,,,,,,,,,,,,,,,,,,,95.75599,,,,92.60642,,,,,,,,,,,94.976105,
